position,discord_id,username,insc_held,balance,mined,exact_guesses,max_reward,fav_glyph,lucky_glyph
731,930761043234394132,Pankaj,1,8775,21,1,4245,"ᛖ","ᚱ"
732,1022037504808996924,Akhi,1,8760,28,1,3879,"ᛇ","ᛃ"
733,1091956212486115328,YashOswal,1,8752,25,1,4017,"ᛇ","ᚢ"
734,698791420131016705,"Bhanu | 🐻⛓",1,8748,33,1,4017,"ᛏ","ᚢ"
735,1205161972237336628,Fireshippro,1,8741,31,1,3358,"ᚷ","ᛇ"
736,831600495125594203,potato46,1,8737,34,0,0,"ᛈ",
737,1216084235346116700,520191,1,8731,18,1,4591,"ᚱ","ᛟ"
738,1035354976152723506,"abhishekrapji | Web3Go",1,8713,6,1,8035,"ᛞ","ᛉ"
739,845480572369633323,Indian,1,8708,31,1,3515,"ᛗ","ᚺ"
740,948125212300414977,ramkirar728,1,8708,34,1,2472,"ᛊ","ᚺ"
741,981401819282542653,Master_ST,1,8703,28,0,0,"ᛗ",
742,893429918317309972,"kailash mavdiya",1,8695,26,1,3879,"ᛏ","ᛃ"
743,709026184897232937,MaaKhadiza,1,8667,13,1,4591,"ᚠ","ᛟ"
744,986662876133609542,"Kevin | hunt3r",1,8657,25,1,4245,"ᚺ","ᚱ"
745,1097559501139353632,"Wayne 🪂",1,8651,23,2,3358,"ᛇ","ᛇ"
746,956112263935295508,kaceya.,1,8642,31,1,2472,"ᚠ","ᚺ"
747,780710385191485460,CB,1,8607,5,1,8035,"ᛉ","ᛉ"
748,827879869253025853,Dr.Ksd,1,8605,29,1,3813,"ᛈ","ᚺ"
749,965621659736363008,"nitesh0028 ⛓ SubQuery",1,8598,33,1,2884,"ᛇ","ᛉ"
750,968751485951283220,nileshberanb,1,8597,34,0,0,"ᚠ",
751,1202867320800944148,Shubh,1,8574,25,1,3879,"ᛟ","ᛃ"
752,1018562662499618877,"GOOGLEROCKSTAR | Web3Go",1,8563,34,0,0,"ᛈ",
753,792719924418052106,.buggy,1,8555,33,1,3214,"ᚷ","ᛃ"
754,1151951838149611631,multicast,1,8550,23,1,3515,"ᛊ","ᚺ"
755,526346146491138048,vishalvermagur,1,8540,24,1,3308,"ᛇ","ᚾ"
756,1032730976478056529,karan221,1,8538,20,1,3515,"ᛗ","ᚺ"
757,1027837306243133490,kartik29,1,8535,31,1,3813,"ᛈ","ᚺ"
758,485315678744608770,Abhi,1,8525,33,0,0,"ᚠ",
759,966682617854459976,"gowri shankar",1,8520,32,1,2472,"ᚺ","ᚺ"
760,1095256146111115264,"I'm_Aditi#0611",1,8518,31,1,2083,"ᚷ","ᚷ"
761,942074306765160478,"Rahul143 Web3Go⛓ SubQuery",1,8515,9,1,6923,"ᛏ","ᚢ"
762,935597971486146660,stotal,1,8495,19,1,4245,"ᚱ","ᚱ"
763,968813138269073408,"Azhar | Web3Go",1,8492,31,1,3308,"ᚺ","ᚾ"
764,993259157287358476,mdabrazzak3355,1,8474,22,2,3515,"ᛈ","ᚺ"
765,1061511156738560011,jaggi1322\Web3Go,1,8474,2,1,7894,"ᛒ","ᛒ"
766,716297384275083374,"SAKIB JAFRI",1,8471,13,1,4591,"ᛇ","ᚦ"
767,948982309019852840,Avesh,1,8453,26,1,3515,"ᚠ","ᚺ"
